Wave1,Corrections,ru,de,es,fr
Wave1,Corrections,Исправительные меры,Korrekturen,Correcciones,Corrections
_went,"""ent"" (as in cli-ent)","""в"" (как в CLI-интерфейсе)","""ent"" (wie in CLI-ent)","""ENT"" (como en CLI-ENT)","""ent"" (comme dans CLI-ENT)"
_suce,“u” - consonant - “e”,"""u""-согласные-""e""","""u""-Konsonanten-""e""","""u""-consonante-""e""","""u""-consonne-""e"""
_wfs,"a (long a), which is also called a faded schwa","a (длинный a), который также называется потерянным счва","a (Long a), die auch als verblasst Schwa","a (largo a), que también se llama un Schwa desteñido","a (long a), qui est aussi appelé un schwa fanée"
_sa,a (sound short),a (звучит коротко),a (Ton kurz),a (sonido corto),a (son court)
_sacsio,A closed syllable is one in which a vowel is followed by one or more consonants.,"Закрытый слог — это один из них, в котором за гласными следуют один или несколько согласных.","Eine geschlossene Silbe ist ein, in dem ein Vokal von einem oder mehreren Konsonanten gefolgt wird.",Una sílaba cerrada es una en la que una vocal es seguida por una o más consonantes.,Une syllabe fermée est celle dans laquelle une voyelle est suivie d'une ou plusieurs consonnes.
_saone1,"A one syllable word that ends in a vowel is ""an"" open syllable, for example: ""me"" = m","Одно слоговое слово, заканчивающееся на гласной, является открытым слогом, например: ""Me"" = m","Eine Silbe Wort, die mit einem Vokal endet, ist ""eine"" offene Silbe, zum Beispiel: ""Me"" = m","Una palabra de una sílaba que termina en una vocal es ""una"" sílaba abierta, por ejemplo: ""yo"" = m","Un mot d'une syllabe qui se termine par une voyelle est ""une"" syllabe ouverte, par exemple: ""me"" = m"
_sasaca,"A syllable always contains a vowel and can ""be"" said in one breath.","Слог всегда содержит гласную и может ""быть"" в одном дыхании.","Eine Silbe enthält immer einen Vokal und kann ""be"" in einem Atemzug gesagt werden.","Una sílaba contiene siempre una vocal y puede ""ser"" dicho en un soplo.",Une syllabe contient toujours une voyelle et peut «être» dit dans un souffle.
_sasiaw,"A syllable is a word, or part of a word.",Слог-это слово или часть слова.,Eine Silbe ist ein Wort oder ein Teil eines Wortes.,"Una sílaba es una palabra, o parte de una palabra.","Une syllabe est un mot, ou une partie d'un mot."
