Wave1,Corrections,ru,de,es,fr
Wave1,Corrections,Исправительные меры,Korrekturen,Correcciones,Corrections
_swtsei,"When the suffix ""ed"" is added to the end of a word, the word becomes past tense, meaning that it already happened.","Когда суффикс ED добавляется к концу слова, слово становится продолженным, что означает, что это уже произошло.","Wenn das Suffix Ed am Ende eines Wortes hinzugefügt wird, wird das Wort Past angespannt, was bedeutet, dass es bereits geschehen ist.","Cuando el sufijo ED se agrega al final de una palabra, la palabra se convierte en tiempo pasado, lo que significa que ya sucedió.","Lorsque le suffixe ed est ajouté à la fin d'un mot, le mot devient passé, ce qui signifie que c'est déjà arrivé."
_swtvii,"When the vowel ""“i”"" is followed by the letters ""“ld”"" or “nd”",Когда за гласной i следуют буквы ld или ND,Wenn der Vokal i gefolgt von den Buchstaben LD oder ND,Cuando la vocal i es seguida por las letras LD o ND,Lorsque la voyelle i est suivie des lettres LD ou ND
_swtvoi,"When the vowel “o” is followed by the letters ""“ld”"", ""“lt"", or ""“st”""...","Если за буквой o следуют буквы ld, lt или St...","Wenn der Vokal o von den Buchstaben LD, lt oder St gefolgt wird ...","Cuando la vocal o es seguida por las letras LD, lt, o St ...","Lorsque la voyelle o est suivie des lettres LD, lt ou St ..."
_swthab,"When they have a blue background, you can click the word and I will pay it for you. Click on the words below.","Когда у них синий фон, можно щелкнуть слово, и я заплачу за вас. Щелкните приведенные ниже слова.","Wenn Sie einen blauen Hintergrund haben, können Sie auf das Wort klicken und ich zahle es für Sie. Klicken Sie auf die untenstehenden Wörter.","Cuando tienen un fondo azul, puedes hacer clic en la palabra y yo te la pagaré. Haga clic en las palabras de abajo.","Quand ils ont un fond bleu, vous pouvez cliquer sur le mot et je vais le payer pour vous. Cliquez sur les mots ci-dessous."
_swvtov,"When vowels together or vowel teams are divided, the first syllable will ""be"" open, which makes the vowel long.","При делении гласных или гласных групп, первый слог будет открыт, что делает гласную длинную.","Wenn Vokale zusammen oder Vokal-Mannschaften geteilt werden, wird die erste Silbe offen sein, was den Vokal lang macht.","Cuando se dividen las vocales juntas o los equipos de la vocal, la primera sílaba estará abierta, que hace la vocal larga.","Lorsque les voyelles ensemble ou les équipes de voyelles sont divisées, la première syllabe sera ouverte, ce qui rend la voyelle longue."
_swyhts,"When you hear the sound of long ""i"", enter the letter ""y"", instead of ""i"".","Когда услышишь звук длинного i, введите букву y, а не я.","Wenn Sie den Klang von langer i hören, geben Sie den Buchstaben y, statt i.","Cuando oyes el sonido de Long i, entra en la letra y, en lugar de yo.","Quand vous entendez le son de long i, entrez la lettre y, au lieu de i."
_swheny,"When you read the sentences and paragraphs, the sight words will ""be"" found in a box at the top of the screen.",При чтении предложений и абзацев слова «зрение» будут найдены в поле в верхней части экрана.,"Wenn Sie die Sätze und Absätze lesen, werden die Worte in einem Kasten am oberen Bildschirmrand gefunden.","Cuando leas las frases y los párrafos, las palabras de la vista se encontrarán en una casilla en la parte superior de la pantalla.","Lorsque vous lisez les phrases et les paragraphes, les mots de vue se trouvent dans une boîte en haut de l'écran."
_swysac,"When you see a caret mark over a vowel, ""we"" call that a tented vowel.","Когда вы видите знак пометки над гласным, мы называем его гласным.","Wenn Sie eine Einfügemarke Markierung über einen Vokal sehen, nennen wir diesen einen Zelt-Vokal.","Cuando ves una marca de cuidado sobre una vocal, llamamos a eso una vocal de tiendas de campaña.","Lorsque vous voyez une marque caret sur une voyelle, nous appelons cela une voyelle en tente."
